biosample_id,accession,organism,strain,isolation_source,host,collection_date,geo_loc_name,amr_genotypes,amr_phenotypes,disease,sra_accession,assembly_accession,assembly_status,ftp_path_refseq,ftp_path_genbank,organism_query
50440650,SAMN50440650,,KE10036,urine,Homo sapiens,2020-10-28,Germany: Heidelberg,,,,,GCA_054189055.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/189/055/GCA_054189055.1_ASM5418905v1,Citrobacter freundii
50440649,SAMN50440649,,KE10017,urine,Homo sapiens,2020-10-13,Germany: Heidelberg,,,,,GCA_054189085.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/189/085/GCA_054189085.1_ASM5418908v1,Citrobacter freundii
54173963,SAMN54173963,,CB00484,urine,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54173962,SAMN54173962,,CB00483,sputum,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54173961,SAMN54173961,,CB00482,not collected,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54173899,SAMN54173899,,CB00481,urine,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54173882,SAMN54173882,,CB00480,urine,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54173839,SAMN54173839,,CB00479,sputum,Homo sapiens,2024,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54173772,SAMN54173772,,CB00478,sputum,Homo sapiens,2024,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54173710,SAMN54173710,,CB00477,urine,Homo sapiens,2024,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54172422,SAMN54172422,,,tracheal aspirate,Homo sapiens,2024,USA: Arizona,,,,,GCA_054059545.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/059/545/GCA_054059545.1_PDT003028337.1,Citrobacter freundii
54169963,SAMN54169963,,CB00502,stool,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54169932,SAMN54169932,,CB00501,wound,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54169908,SAMN54169908,,CB00500,sputum,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
54169900,SAMN54169900,,CB00499,urine,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
48972252,SAMN48972252,,,blood,Homo sapiens,2021-08-31,Ethiopia,,,,,,,,,Citrobacter freundii
54165854,SAMEA120820563,,,human,,,,,,,,GCA_054151015.1,Contig,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/151/015/GCA_054151015.1_PDT003035700.1,Citrobacter freundii
54146308,SAMN54146308,,CB00493,urine,Homo sapiens,2025,"USA: Pittsburgh, PA",,,,,,,,,Citrobacter freundii
